,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expressed,fdr_hypothesis,fdr,corrected
6546,C1QA,712,NOT,1.7569391573831783e-09,14.0,True,True,1.3037424374482134e-08,False
6547,PPIH,10465,NOT,1.9791055568801153e-09,16.0,True,True,1.4011905120944259e-08,False
6548,SLC39A6,25800,NOT,1.934752339408358e-09,9.0,True,True,1.3996166944421854e-08,False
6549,FAM47E-STBD1,8987,NOT,1.067954707357515e-08,45.0,True,True,4.917088904477897e-08,False
6550,ZBED5,58486,NORMAL,0.14231459792438458,465.0,False,False,0.17114407790767447,False
6551,ANXA2,302,NOT,0.8355838689274765,616.0,False,False,0.8545800329004888,False
6552,CHRNA10,57053,NOT,1.4630878693174424e-07,84.0,True,True,4.5746322067798767e-07,False
6553,DPEP2,64174,NOT,8.031090907046913e-10,1.0,True,True,1.093136886055739e-08,False
6554,CRLF1,9244,NOT,0.8734489877977527,621.0,False,False,0.8889378616829373,False
6555,CACNA2D1,781,NOT,0.0015698643246456522,310.0,True,True,0.002488475519201105,False
6556,TOR1B,27348,NORMAL,0.5722664037295826,579.0,False,False,0.6115243179777644,False
6557,SRGAP3,9901,NORMAL,0.16015452450984402,492.0,False,False,0.19079162891576826,False
6558,ASNSD1,54529,NOT,0.00019816925019304648,252.0,True,True,0.00035645291514836296,False
6559,RALB,5899,NORMAL,0.14098712619772763,485.0,False,False,0.16966580320903832,False
6560,DNAI2,64446,NORMAL,1.071681462657252e-07,87.0,True,True,3.4623709121758047e-07,False
6561,UTP11L,51118,NOT,0.00011057233752408534,237.0,True,True,0.00020643435974587423,False
6562,CCDC86,79080,NOT,3.1749592482457436e-09,24.0,True,True,1.9449440075689794e-08,False
6563,FAM175B,23172,NORMAL,9.815905687239879e-05,234.0,True,True,0.0001847165258682668,False
6564,XKRX,402415,NOT,0.6745456337061272,594.0,False,False,0.7086769946039864,False
6565,MTRNR2L2,100462981,NOT,0.011914077324997696,377.0,True,True,0.01680951370380065,False
6566,SRSF7,6432,NORMAL,0.6436875285434513,566.0,False,False,0.6802289139039653,False
6567,C17orf85,55421,NORMAL,0.05658244438545605,440.0,False,False,0.0725389036555661,False
6568,CDC6,990,NOT,8.031090907046913e-10,1.0,True,True,1.093136886055739e-08,False
6569,UCP2,7351,NOT,0.00028917828473891855,262.0,True,True,0.0005075236075246184,False
6570,VHL,7428,NORMAL,0.0808543667009045,437.0,False,False,0.1011924353226201,False
6571,SH2D2A,9047,NOT,0.0002396514196804627,257.0,True,True,0.0004261867690940903,False
6572,CLCN7,1186,NOT,0.17195813159984408,496.0,False,False,0.2036873781806985,False
6573,HPRT1,3251,NOT,1.3025210640480111e-09,9.0,True,True,1.1301381909306577e-08,False
6574,TRIM50,135892,NOT,2.2973636195762523e-06,148.0,True,True,5.587291788211951e-06,False
6575,PRKG1,5592,NOT,9.634403725281619e-10,4.0,True,True,1.093136886055739e-08,False
6576,AC073343.1,0,NORMAL,0.8963138410681736,624.0,False,False,0.9095824240411619,False
6577,PPL,5493,NOT,0.7684331661508539,607.0,False,False,0.7949387954521828,False
6578,NIP7,51388,NOT,3.5111606357238997e-06,157.0,True,True,8.29417475483801e-06,False
6579,BICC1,80114,NOT,0.04728385404001058,432.0,True,False,0.06127286614216358,True
6580,RP11-468E2.2,0,NOT,0.3472016755460976,518.0,False,False,0.38834651795152536,False
6581,HRH1,3269,NOT,6.299968597646833e-05,223.0,True,True,0.00012185864687532084,False
6582,DNAJC30,84277,NOT,0.9961489139450291,637.0,False,False,0.9963219365678774,False
6583,RP11-162A12.2,0,NOT,8.502529682098662e-09,41.0,True,True,4.10512018608872e-08,False
6584,NEK2,4751,NOT,8.031090907046913e-10,1.0,True,True,1.093136886055739e-08,False
6585,SUSD2,56241,NOT,7.556929455863566e-10,0.0,True,True,1.093136886055739e-08,False
6586,SEC14L4,284904,NOT,9.002403196420849e-09,42.0,True,True,4.288927612194433e-08,False
6587,RGMB,285704,NOT,8.364432470054176e-05,230.0,True,True,0.00015920622622321055,False
6588,REM1,28954,NOT,1.3236030550829674e-07,91.0,True,True,4.160282767484415e-07,False
6589,ABCC3,8714,NOT,0.0517586538643236,436.0,False,False,0.06672617503777539,False
6590,TMX1,81542,NOT,2.1311973946657259e-07,91.0,True,True,6.387306556705484e-07,False
6591,MORN1,79906,NOT,0.20429624539024516,506.0,False,False,0.23891264819364239,False
6592,APOO,79135,NOT,6.992792915521651e-08,79.0,True,True,2.374223616659523e-07,False
6593,RANBP3L,202151,NORMAL,9.002403196420849e-09,42.0,True,True,4.288927612194433e-08,False
6594,TRIML2,205860,NOT,0.0027781731595064754,252.5,True,True,0.004261493636163591,False
6595,TTBK2,146057,NOT,0.0016771655501775634,312.0,True,True,0.0026493265251753303,False
6596,CCNY,219771,NOT,0.0028898817115316027,313.0,True,True,0.004421068594288739,False
6597,PLD5,200150,NOT,0.5335234365917243,573.0,False,False,0.5738150521181694,False
6598,FUT7,2529,NOT,3.678834025023841e-05,210.0,True,True,7.355539095172089e-05,False
6599,HLA-B,3106,NORMAL,5.063849902320951e-09,32.0,True,True,2.742257274689481e-08,False
6600,CLIC6,54102,NOT,2.11615211152453e-05,197.0,True,True,4.3859061459611585e-05,False
6601,MRPL38,64978,NORMAL,7.162525846191617e-06,172.5,True,True,1.6077525206985472e-05,False
6602,RP11-723O4.6,0,NORMAL,1.4945133405887308e-05,189.0,True,True,3.1783476497193553e-05,False
6603,RPTOR,57521,NOT,0.9807463639015632,635.0,False,False,0.9831366237102945,False
6604,PDCD2,5134,NOT,8.706983755485861e-05,231.0,True,True,0.00016525285033620993,False
6605,OXLD1,339229,NOT,5.057533008155082e-08,73.0,True,True,1.7866847181161359e-07,False
6606,CD69,969,NOT,2.364509566231392e-09,19.0,True,True,1.5674176038621372e-08,False
6607,SYCP2L,221711,NOT,0.7101525415643333,599.0,False,False,0.7414859568161897,False
6608,E2F3,1871,NOT,3.366814035344517e-09,25.0,True,True,2.0300772237548528e-08,False
6609,PDZD11,51248,NOT,8.211091259920598e-08,82.0,True,True,2.733547904632367e-07,False
6610,CD59,966,NOT,1.4992617020836475e-08,51.0,True,True,6.406071210362357e-08,False
6611,NCSTN,23385,NOT,0.015190734966051288,386.0,True,True,0.021150958856978805,False
6612,CTBP1,1487,NOT,0.05784519551519503,441.0,False,False,0.07402042611296253,False
6613,IFIT2,3433,NOT,1.5859651576522734e-08,52.0,True,True,6.687221893688803e-08,False
6614,MKRN1,23608,NOT,0.05679217145662448,421.0,False,False,0.07278076868792195,False
6615,MRVI1,10335,NOT,2.218010774931945e-08,58.0,True,True,8.77401789259202e-08,False
6616,ZNF229,7772,NORMAL,0.0021080676979184686,319.0,True,True,0.003282573416399995,False
6617,NCOA5,57727,NOT,0.7980960963894896,611.0,False,False,0.8213947015268652,False
6618,NEDD9,4739,NOT,1.1100954635085601e-09,0.0,True,True,1.093136886055739e-08,False
6619,PPM1L,151742,NORMAL,0.0018178841297589454,299.0,True,True,0.002857762156846463,False
6620,SREK1,140890,NORMAL,0.06500342450687646,427.0,False,False,0.08256472485592875,False
6621,INMT-FAM188B,11185,NORMAL,8.031090907046913e-10,1.0,True,True,1.093136886055739e-08,False
6622,HOXA4,3201,NORMAL,0.00011057233752408534,237.0,True,True,0.00020643435974587423,False
