,Hugo_Symbol,Entrez_Gene_Id,Normality_NormalSample,Normality_CancerSample,p,stat,expressed,fdr_hypothesis,fdr,corrected
4104,SMIM4,440957,NORMAL,NOT,4.7484603419007896e-07,1981.0,True,True,1.1024879089500421e-06,False
4105,KIAA0196,9897,NOT,NOT,0.01905133878486479,909.5,True,True,0.026014692712713557,False
4106,TMEM9B,56674,NOT,NOT,6.308613832658107e-14,2338.5,True,True,4.2045256157086726e-13,False
4107,SLC9B1,150159,NORMAL,NOT,0.022896831232980225,1580.5,True,True,0.030904889351330154,False
4108,ITK,3702,NORMAL,NORMAL,2.58527948252921e-10,2167.5,True,True,8.929665497943968e-10,False
4109,NUTM2A,728118,NOT,NOT,3.3674825440660743e-07,1990.5,True,True,7.95586172712547e-07,False
4110,G3BP2,9908,NOT,NOT,0.038925094112300405,1550.0,True,False,0.05078016921839522,True
4111,PIKFYVE,200576,NORMAL,NOT,0.056166335211650244,1527.5,False,False,0.07173395244575322,False
4112,NPIPB15,440348,NOT,NOT,0.24398235554727576,1419.5,False,False,0.28243618522275604,False
4113,AC022498.1,0,NORMAL,NOT,0.040838533045727266,1546.0,True,False,0.053188001987706464,True
4114,KIAA1984,0,NORMAL,NOT,1.6165086162848747e-09,2125.5,True,True,5.028846811871279e-09,False
4115,CLTA,1211,NORMAL,NOT,0.8415134478105601,1220.5,False,False,0.8624999507866755,False
4116,ZFP82,284406,NOT,NOT,0.5258950292041749,1342.5,False,False,0.5691728464993417,False
4117,SRP54,6729,NOT,NOT,0.00017363588262005257,705.0,True,True,0.00030366064712101723,False
4118,FAM92A1,137392,NORMAL,NOT,0.002865332980734085,817.0,True,True,0.004350380316591784,False
4119,KIAA1377,57562,NOT,NOT,1.463182268926121e-13,2322.5,True,True,8.985593208566918e-13,False
4120,TFEC,22797,NORMAL,NOT,8.918755654526306e-14,2332.0,True,True,5.761836347492219e-13,False
4121,RP9,6100,NOT,NOT,0.0018516753403257696,798.0,True,True,0.0028830726907731114,False
4122,ABR,29,NORMAL,NOT,1.9430656245620632e-13,2317.0,True,True,1.1610674045074244e-12,False
