,Hugo_Symbol,Entrez_Gene_Id,FC,log2FC,ABS,segnificant,expressed,segnificance (-log10)
150,IPO5,3843,1.3690113989392334,0.45313445910467925,0.45313445910467925,0.0,not expressed,3.590865609084245
151,C8B,732,0.06221050917544802,-4.0066978754217875,4.0066978754217875,1.0,under expressed,8.095301574286417
152,CCL3L1,6349,0.6764201127655156,-0.5640085372156457,0.5640085372156457,0.0,not expressed,0.4658098513455009
153,ANKRD33B,651746,1.5644077723420378,0.645616608846152,0.645616608846152,1.0,over expressed,1.4672536500107265
154,DGKD,8527,0.5164103084075243,-0.9534102953654577,0.9534102953654577,1.0,under expressed,6.764346778632043
155,TMPO,7112,2.171505383838032,1.1186955296864871,1.1186955296864871,1.0,over expressed,8.651976802386294
156,LY86,9450,0.20343879445696142,-2.297333276882158,2.297333276882158,1.0,under expressed,8.755243277816184
157,LDOC1,23641,1.2945858858425587,0.37249068016186276,0.37249068016186276,0.0,not expressed,0.891392236144945
158,MAD2L1,4085,10.126427844066146,3.3400534397556116,3.3400534397556116,1.0,over expressed,9.095225458117138
159,BHMT2,23743,0.8479917240695773,-0.23787790993620092,0.23787790993620092,0.0,not expressed,6.561937813806516
160,BAI1,575,2.3084581174262517,1.2069295576722783,1.2069295576722783,1.0,over expressed,0.3124441403092494
161,TOMM70A,9868,1.8973080970697103,0.9239539718558992,0.9239539718558992,1.0,over expressed,9.121752834569019
162,MRI1,84245,1.3228774687682028,0.40367943849709087,0.40367943849709087,0.0,not expressed,3.9391917764452637
163,ARAP1,116985,0.5457571973886055,-0.8736688434351456,0.8736688434351456,1.0,under expressed,8.220141748831526
164,DZIP1,22873,1.290856813034617,0.3683289800552344,0.3683289800552344,0.0,not expressed,0.9751259861333762
165,VDAC3,7419,1.5953734148124086,0.6738941422635074,0.6738941422635074,1.0,over expressed,5.825916409561609
166,RBM42,79171,1.330942538906854,0.41244828678428613,0.41244828678428613,0.0,not expressed,4.218401329676859
167,MROH7-TTC4,0,0.6698143534517398,-0.5781668029995404,0.5781668029995404,0.0,not expressed,2.258493232551006
168,ZNF2,7549,1.331184280543743,0.4127103024471963,0.4127103024471963,0.0,not expressed,1.1669836895875818
169,ATP8B2,57198,0.6963371950346886,-0.5221420074899795,0.5221420074899795,0.0,not expressed,3.3785329342432817
170,MMADHC,27249,1.332470278402462,0.4141033531123343,0.4141033531123343,0.0,not expressed,5.721490582466384
171,SIK3,23387,0.7551580092516134,-0.40514954937286773,0.40514954937286773,0.0,not expressed,3.9907924250633315
172,GOLIM4,27333,1.3571134496623631,0.4405413297647638,0.4405413297647638,0.0,not expressed,3.009374255299922
173,FLJ20306,0,1.5649843096234313,0.6461481929138423,0.6461481929138423,1.0,over expressed,3.3156143819210886
174,TSHZ2,128553,2.050428852643419,1.0359256847920248,1.0359256847920248,1.0,over expressed,4.711982256882938
175,ADAM11,4185,3.440167558761926,1.7824788353656644,1.7824788353656644,1.0,over expressed,5.889040597753267
176,SPCS2,9789,1.0585031841003856,0.08202560914609446,0.08202560914609446,0.0,not expressed,0.7493393436568478
177,SNX18,112574,0.6505509827912221,-0.6202659714756023,0.6202659714756023,1.0,under expressed,8.061104232013365
178,KIF17,57576,0.15214646596176884,-2.716467271377568,2.716467271377568,1.0,under expressed,9.095225458117138
179,PARP11,57097,1.2097081066452802,0.2746589781635652,0.2746589781635652,0.0,not expressed,1.0009232449780705
180,RAB42,115273,0.9541133369121952,-0.06776744407663159,0.06776744407663159,0.0,not expressed,0.0645912762678741
181,ACP6,51205,1.1172713025199084,0.1599795522261803,0.1599795522261803,0.0,not expressed,0.6897396148716249
182,IL7,3574,0.49231314743053955,-1.0223518270197056,1.0223518270197056,1.0,under expressed,6.231645214120846
183,RBPMS2,348093,0.490388299692097,-1.028003537101651,1.028003537101651,1.0,under expressed,6.719092418131768
184,AGTR2,186,0.08476599295106639,-3.560370599998329,3.560370599998329,1.0,under expressed,8.859237043689527
185,PLA2G4D,283748,4.157939669891862,2.0558688253970363,2.0558688253970363,1.0,over expressed,4.512350092755386
186,ANKRD20A4,441425,1.1509349671325546,0.2028063171834343,0.2028063171834343,0.0,not expressed,0.572880803756941
187,MTDH,92140,1.3306305522642308,0.41211006456097704,0.41211006456097704,0.0,not expressed,4.165297925971954
188,MT-CYB,4519,0.5219123570704757,-0.9381205345207162,0.9381205345207162,1.0,under expressed,6.832522638744825
189,TRIP6,7205,1.4294383513903652,0.5154484009684731,0.5154484009684731,0.0,not expressed,4.4525317077286966
190,CES1,1066,0.9007515372912482,-0.15079888601984556,0.15079888601984556,0.0,not expressed,0.8111069163573027
191,CYSLTR1,10800,0.25804867165282475,-1.9542848907517967,1.9542848907517967,1.0,under expressed,8.574941639118139
