TNFAIP8L2	79626	320.8	547.75	403.5	420.68	314.17	395.18	314.17	514.56	473.41	163.28	334.46	119.26	299.25	466.88	633.73	395.18	329.84	309.83	295.11	444.72	363.56	435.55	381.68	426.57	279.14	239.52	392.44	381.68	353.59	212.78	387.02	339.14	346.29	246.28	291.04	226.54	229.72	371.22	363.56	314.17	703.28	379.04	323.03	295.11	320.8	142.01	470.14	400.71	435.55	507.46	361.08760000000007
PFDN2	5202	2047.0	2061.24	1519.15	1781.89	1745.2	2682.69	1819.35	2047.0	1685.71	1832.01	1605.83	2835.7	1733.13	2163.77	2816.11	1857.6	1508.65	1857.6	1909.85	1721.16	1936.53	1540.37	1857.6	3190.46	2796.65	1561.89	1605.83	1059.11	1977.24	1832.01	2193.99	2090.03	2224.63	2319.15	1551.09	1417.35	2997.45	1233.75	2178.83	1685.71	1870.53	1167.14	1685.71	1407.55	1674.06	1628.26	1857.6	1819.35	1794.29	2104.58	1909.7876
TCP1	6950	2335.28	2047.0	2351.53	2645.74	2502.97	2875.3	2520.38	2400.97	2451.44	2119.22	2739.08	3124.78	2319.15	2193.99	2061.24	2645.74	2163.77	2434.5	2758.13	1950.0	2351.53	2271.4	2075.59	2502.97	2976.74	2591.27	2351.53	2816.11	2609.3	1896.65	2240.11	2591.27	2417.67	2133.97	2485.67	3146.52	2956.17	2645.74	2209.26	2104.58	2627.46	2682.69	2319.15	2255.7	2163.77	2319.15	2627.46	2502.97	2468.49	2319.15	2446.005
PMEL	6490	25.17	44.89	32.82	26.86	53.19	43.02	42.71	37.32	39.5	26.1	28.45	23.25	43.94	30.56	32.36	37.85	28.04	36.01	28.04	53.19	45.53	38.12	22.75	38.95	26.1	27.64	26.67	35.76	31.45	31.45	42.71	31.0	29.91	31.0	30.56	40.93	27.25	20.71	26.86	30.56	28.24	48.52	31.9	19.39	39.79	31.22	32.82	32.82	37.85	33.78	33.7102
CYBA	1535	7642.41	12502.12	8247.98	7180.15	7331.05	8538.88	6652.97	10733.74	8078.22	5831.91	6207.38	5183.54	6471.02	10154.69	14765.09	7966.99	6294.04	8247.98	4869.99	10440.2	8840.04	10440.2	10883.59	8963.45	8479.89	5183.54	7032.37	4239.45	8538.88	4358.66	6935.54	7485.11	8718.32	7695.57	5112.16	6037.61	8421.31	5112.16	8778.97	9151.82	12160.22	7331.05	7081.29	5633.22	8078.22	5329.3	6699.25	8658.09	14461.21	12415.75	8031.9317999999985
GINS1	9837	19.82	27.44	8.71	47.17	17.51	8.92	20.86	53.95	8.0	14.14	20.56	6.11	44.89	17.64	25.17	18.29	16.03	12.09	7.63	16.15	25.35	34.26	24.11	14.67	7.82	8.38	11.3	14.56	37.32	10.47	9.48	16.03	15.11	10.31	18.29	32.13	12.09	14.45	11.04	12.45	59.55	33.54	8.25	32.36	9.78	10.96	10.71	26.86	20.56	22.59	19.717200000000002
GPX3	2878	26067.14	22535.88	37379.55	25708.25	29736.59	37121.34	42054.3	14765.09	30785.28	35609.13	47313.67	47313.67	38966.94	17078.76	24153.43	16045.82	22692.63	32092.64	49322.93	18689.27	32994.92	25530.66	25179.16	29124.6	24660.96	43236.64	31870.96	35118.87	20593.91	68793.23	29531.18	21919.61	19082.0	23820.89	88905.42	28923.41	43840.21	41763.8	17317.18	35363.15	14262.1	17681.08	42641.37	52863.07	53973.86	26614.89	23169.48	31650.8	22850.48	26248.46	32299.173200000005
IPO9	55705	713.11	379.04	575.03	743.43	665.29	406.31	587.13	571.05	543.96	669.92	629.35	540.19	616.37	543.96	476.71	595.34	651.58	651.58	555.41	599.49	583.07	595.34	540.19	476.71	543.96	728.11	571.05	738.29	738.29	638.15	624.99	595.34	698.41	633.73	665.29	748.61	587.13	665.29	529.06	514.56	525.39	698.41	660.68	743.43	555.41	616.37	718.08	674.59	438.59	521.76	605.6506000000002
LMF1	64788	285.03	381.68	256.78	334.46	395.18	265.87	351.14	262.2	381.68	348.71	412.0	316.37	339.14	363.56	253.23	327.56	371.22	395.18	265.87	406.31	279.14	511.0	325.29	226.54	297.17	285.03	314.17	309.83	358.54	361.04	363.56	318.57	320.8	381.68	312.0	341.51	314.17	400.71	334.46	277.2	316.37	320.8	368.65	343.89	368.65	409.15	275.28	356.05	432.53	403.5	338.809
LSM14B	149986	599.49	518.15	607.87	665.29	688.78	361.04	669.92	392.44	665.29	540.19	633.73	379.04	473.41	629.35	400.71	540.19	620.67	665.29	441.64	595.34	532.74	642.59	543.96	309.83	397.93	567.1	595.34	476.71	514.56	540.19	595.34	583.07	529.06	587.13	493.56	543.96	395.18	525.39	599.49	587.13	665.29	575.03	575.03	551.56	688.78	599.49	532.74	450.94	540.19	651.58	549.5744000000001
TLE2	7089	1081.39	684.02	928.3	1001.93	1037.29	848.22	872.1	642.59	848.22	854.13	1183.45	1151.06	842.36	981.29	674.59	775.05	967.76	1259.69	854.13	848.22	603.67	954.43	693.58	728.11	995.0	974.5	1037.29	890.44	1233.75	988.12	1066.48	1135.2	934.76	1313.23	988.12	2075.59	915.51	961.07	947.83	1250.98	571.05	802.41	1030.12	2004.85	1225.22	1216.75	743.43	860.08	860.08	738.29	981.5146000000004
EIF4EBP3	8637	878.17	872.1	785.88	532.74	974.5	954.43	1023.0	759.08	1096.5	780.44	656.11	483.38	961.07	878.17	1225.22	836.53	748.61	679.29	854.13	1059.11	547.75	791.35	764.36	967.76	684.02	638.15	713.11	1001.93	796.86	1286.18	1242.34	921.88	688.78	1250.98	599.49	718.08	854.13	813.63	1001.93	1073.91	642.59	1023.0	836.53	603.67	961.07	728.11	1277.29	444.72	708.18	974.5	851.8948000000001
LRP2BP	55805	87.65	71.5	73.03	68.55	151.22	81.71	87.03	42.71	100.83	104.42	61.68	63.89	61.25	100.13	76.71	97.36	102.97	52.45	45.21	87.65	59.13	93.35	25.17	201.25	92.05	84.63	139.07	108.9	146.03	58.71	88.88	151.22	45.85	142.01	43.63	95.34	52.08	70.51	153.34	189.02	94.67	152.28	137.14	60.82	133.36	128.79	223.41	48.18	84.63	111.21	96.65220000000004
PELO	53918	507.46	339.14	348.71	387.02	486.75	555.41	423.61	497.0	329.84	429.54	514.56	473.41	363.56	438.59	507.46	507.46	293.07	460.44	595.34	273.37	454.09	323.03	403.5	567.1	432.53	457.25	341.51	381.68	376.41	529.06	480.04	525.39	476.71	521.76	457.25	591.22	567.1	450.94	384.34	301.33	348.71	432.53	444.72	441.64	480.04	493.56	287.01	373.81	387.02	336.79	435.5962000000001
ZWINT	11130	119.26	175.07	105.89	267.73	116.78	63.89	122.64	299.25	56.28	56.68	136.19	42.11	303.44	145.02	162.14	90.14	185.11	113.56	47.17	127.0	135.24	152.28	159.9	57.49	90.77	57.08	76.17	76.71	242.88	71.5	91.41	105.89	127.89	83.45	87.03	122.64	83.45	56.28	101.54	83.45	348.71	190.34	64.34	208.38	64.8	77.25	47.5	140.04	127.0	164.42	124.62360000000001
FYTTD1	84248	848.22	866.07	921.88	1037.29	915.51	947.83	769.69	775.05	743.43	974.5	981.29	1030.12	830.75	713.11	836.53	961.07	928.3	854.13	1111.82	703.28	1044.52	738.29	836.53	941.27	896.64	1096.5	915.51	1044.52	928.3	656.11	713.11	884.29	896.64	583.07	1208.34	961.07	941.27	1037.29	703.28	656.11	1096.5	890.44	866.07	830.75	669.92	718.08	708.18	974.5	764.36	708.18	873.1902
AOC3	8639	5183.54	2018.8	5403.7	5441.3	4639.29	3303.0	5403.7	1437.15	5672.41	5441.3	8134.41	6037.61	4181.07	3901.01	2384.37	3303.0	3928.15	5441.3	5751.61	2915.45	4298.64	4181.07	4639.29	2240.11	3257.52	5517.27	4903.87	4066.71	2875.3	4152.18	3874.05	5633.22	4123.49	2720.15	6699.25	4802.93	4268.94	5711.87	4095.0	4095.0	2351.53	3491.39	4836.35	6337.83	6426.31	3928.15	2090.03	3235.01	5076.84	4152.18	4360.072999999999
KIFC3	3801	974.5	928.3	872.1	890.44	842.36	921.88	954.43	813.63	796.86	1015.93	954.43	1378.57	791.35	1369.04	718.08	921.88	708.18	1143.1	490.14	825.0	591.22	1111.82	796.86	947.83	1191.69	921.88	1225.22	591.22	1151.06	934.76	1104.13	1313.23	1242.34	1096.5	679.29	1277.29	974.5	642.59	1259.69	1175.27	718.08	909.17	866.07	995.0	1662.49	1242.34	599.49	698.41	1159.07	1104.13	969.8567999999998
DOCK11	139818	318.57	224.97	447.82	486.75	316.37	249.73	269.6	209.84	339.14	267.73	341.51	264.03	236.21	293.07	223.41	389.72	316.37	283.05	236.21	289.02	281.09	336.79	267.73	221.86	289.02	395.18	356.05	486.75	339.14	183.82	220.32	392.44	275.28	172.65	224.97	329.84	214.27	429.54	320.8	336.79	493.56	543.96	358.54	348.71	346.29	185.11	316.37	279.14	248.0	356.05	311.0636
TMEM231	79583	529.06	346.29	193.01	450.94	1191.69	320.8	703.28	249.73	698.41	152.28	384.34	320.8	111.21	529.06	293.07	688.78	583.07	154.42	244.57	125.24	848.22	226.54	139.07	199.85	105.15	356.05	237.86	156.59	371.22	129.69	329.84	450.94	181.28	616.37	559.28	429.54	161.02	212.78	688.78	178.77	307.69	156.59	205.5	122.64	127.89	171.45	107.38	156.59	191.67	1191.69	351.7596000000001
DNAH17	8632	47.84	50.63	46.18	29.48	49.21	59.97	34.75	45.21	37.32	57.49	41.52	75.64	28.65	52.08	26.28	49.21	36.53	35.25	27.05	47.17	40.64	46.84	21.32	61.68	45.21	75.64	50.27	77.25	57.49	38.12	37.05	61.68	59.55	81.14	20.11	67.59	47.17	50.27	76.17	61.68	62.56	41.81	70.01	38.67	83.45	71.0	92.7	29.27	70.01	36.01	50.996400000000015
DCHS1	8642	262.2	120.1	223.41	295.11	242.88	102.97	177.53	105.89	132.44	204.07	497.0	217.27	133.36	198.47	78.89	176.29	208.38	265.87	204.07	205.5	279.14	251.48	366.09	114.36	273.37	265.87	202.66	167.9	389.72	178.77	149.12	279.14	339.14	127.0	314.17	432.53	181.28	128.79	112.77	147.06	147.06	198.47	218.79	583.07	195.72	289.02	69.52	170.25	204.07	92.05	218.40159999999997
HS3ST4	9951	0.0	0.83	0.79	0.43	0.78	2.07	3.23	2.41	0.43	1.19	1.13	1.39	0.0	0.42	0.79	0.41	1.53	0.0	1.85	0.87	3.5	1.77	1.28	0.0	1.46	0.42	0.0	1.14	0.0	8.25	0.8	0.77	0.0	0.0	1.43	1.08	0.41	0.78	0.0	0.8	1.77	0.43	2.84	0.77	0.0	1.48	0.0	0.77	1.91	1.75	1.1232
SLC5A8	160728	28.04	186.4	46.5	14.56	94.67	55.49	2.66	271.48	26.47	35.0	57.08	24.11	48.52	40.36	11.64	43.32	46.84	13.12	34.02	30.56	31.22	53.19	37.85	53.19	72.01	30.56	1.68	25.54	45.85	43.02	43.63	12.55	120.1	36.79	20.86	20.41	106.63	12.36	14.67	59.13	36.79	32.82	37.05	7.69	14.45	24.81	23.42	202.66	14.45	31.9	47.56239999999998
