,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
13381,EMP3,2014.0,NOT,0.9999999999999901,2359.5,not
13382,CTB-54O9.9,0.0,ND,0.4622418495797337,1236.0,not
13383,MYC,4609.0,ND,0.00414026185560267,866.5,expressed
13384,CLSTN2,64084.0,ND,0.3037635560010832,1175.0,not
13385,DTX3,196403.0,NOT,0.41403476256673566,1218.0,not
13386,RAD52,5893.0,NOT,0.010843252778096914,916.5,expressed
13387,NUDT10,170685.0,NOT,0.00022196808404478194,740.0,expressed
13388,IL31RA,133396.0,ND,5.5881146908227226e-09,421.0,expressed
13389,TBXAS1,6916.0,NOT,0.9999999999999922,2364.0,not
13390,SLFN11,91607.0,ND,0.9999999999992817,2276.5,not
13391,SDR42E1,93517.0,ND,9.856745264217022e-12,276.5,expressed
13392,GSG1L,146395.0,ND,0.9999999964142099,2087.5,not
13393,LCA5,167691.0,ND,0.9999999994141524,2132.0,not
13394,ESYT1,23344.0,ND,0.999994891626681,1889.5,not
13395,C22orf46,79640.0,NOT,0.6828622880007175,1318.5,not
13396,RUNX1T1,862.0,NOT,0.9999999999999822,2348.5,not
13397,DPH1,1801.0,NOT,0.9999029864039941,1790.0,not
13398,FAM57A,79850.0,ND,5.740125967200377e-11,314.5,expressed
13399,CCSER1,401145.0,NOT,0.08558275180200531,1051.0,not
13400,C1orf200,0.0,NOT,0.999999996168051,2087.0,not
13401,RNF133,168433.0,ND,0.9999999999999984,2389.0,not
13402,SUOX,6821.0,ND,0.9999999994975214,2135.5,not
13403,EIF3G,8666.0,NOT,0.9891618696973484,1582.5,not
13404,AS3MT,57412.0,NOT,0.7611880825274653,1352.5,not
13405,TMEM35,59353.0,NOT,0.9999991431060665,1943.5,not
13406,TSC1,7248.0,NOT,0.8379464342010174,1392.5,not
13407,SMAGP,57228.0,ND,0.4780076765144757,1241.5,not
13408,FOXI1,2299.0,ND,0.7987249760176149,1370.5,not
13409,KCNQ3,3786.0,ND,0.9999991574492115,1944.0,not
13410,UBASH3A,53347.0,NOT,0.9999935132153939,1882.0,not
13411,VRK2,7444.0,ND,2.4588592431971464e-09,401.0,expressed
13412,CHRNB1,1140.0,ND,0.9871381633258524,1573.0,not
