,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression,fdr,fdr_hypothesis
995,CRYL1,51084.0,NOT,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
996,KRT6B,3854.0,NOT,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
997,PLEKHS1,79949.0,ND,0.007565976238322066,344.0,expressed,0.010969554302728805,True
998,EIF2B3,8891.0,NOT,0.5657173945054648,578.0,not,0.6053524238240757,False
999,METAP1,23173.0,NOT,1.0872449061578735e-09,6.0,expressed,1.093136886055739e-08,True
1000,TMEM80,283232.0,NOT,5.063849902320951e-09,32.0,expressed,2.742257274689481e-08,True
1001,SAPCD2,89958.0,ND,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
1002,DACT1,51339.0,NOT,0.8810598365200165,622.0,not,0.8959447066095647,False
1003,A2ML1,144568.0,ND,9.06805772149548e-10,3.0,expressed,1.093136886055739e-08,True
1004,LEPR,3953.0,NOT,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
1005,PDGFRB,5159.0,NOT,0.0002633034879499733,259.5,expressed,0.00046537423310167675,True
1006,HIST1H4J,8294.0,NOT,1.8125918393095056e-07,97.0,expressed,5.529317327224388e-07,True
1007,USH2A,7399.0,ND,0.0006900691931971324,192.0,expressed,0.0011499937405972961,True
1008,EXOC8,149371.0,NOT,4.633575533744181e-06,152.0,expressed,1.0736892952518724e-05,True
1009,CTB-133G6.1,0.0,ND,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
1010,SYNPO2L,79933.0,NOT,1.725266667615396e-06,142.0,expressed,4.29019457075802e-06,True
1011,RALGPS1,9649.0,ND,7.327454491069752e-06,173.0,expressed,1.64136120764043e-05,True
1012,MED24,9862.0,NOT,0.002397742379179786,323.0,expressed,0.0037055823582332085,True
1013,STRADB,55437.0,NOT,0.019150523176083956,377.0,expressed,0.02629144781585078,True
1014,C12orf54,121273.0,NOT,3.091265202115283e-08,64.0,expressed,1.1664431789047133e-07,True
1015,ACSL3,2181.0,ND,0.00012943824374041834,241.0,expressed,0.00023884273238792213,True
1016,ZNF215,7762.0,ND,0.00023075330864934335,256.0,expressed,0.00041112452629098666,True
1017,MSRB3,253827.0,ND,2.228554183152968e-09,18.0,expressed,1.5091443949026863e-08,True
1018,QSOX2,169714.0,NOT,7.1594666223879605e-09,38.0,expressed,3.584921330485565e-08,True
1019,PCCA,5095.0,NOT,1.016310324350643e-07,86.0,expressed,3.304491032026606e-07,True
1020,CMTR1,23070.0,ND,0.17809613462015939,498.0,not,0.21041269204806798,False
1021,FOXRED1,55572.0,NOT,1.4703800774225145e-08,43.0,expressed,6.35179190734532e-08,True
1022,NEDD8-MDP1,100528064.0,NOT,0.24474022143750518,517.0,not,0.28240513828955327,False
1023,PCDHA4,56144.0,ND,0.18440092702168664,500.0,not,0.21730854862539306,False
1024,SLC26A5,375611.0,NOT,0.0013970789919224697,306.5,expressed,0.0022303428135533377,True
1025,ITPR1,3708.0,NOT,1.0235189212610724e-09,5.0,expressed,1.093136886055739e-08,True
1026,ZHX3,23051.0,ND,3.3821098842104396e-05,208.0,expressed,6.795295213972475e-05,True
1027,DUT,1854.0,ND,1.0130044468634844e-06,121.0,expressed,2.622456439317652e-06,True
1028,SSTR1,6751.0,ND,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
1029,RDH16,8608.0,NOT,5.365943352795552e-09,33.0,expressed,2.8716440960205438e-08,True
1030,PPP1R9A,55607.0,ND,9.63712911922847e-08,85.0,expressed,3.150646749341313e-07,True
1031,PRRG2,5639.0,ND,0.8205387894383639,614.0,not,0.8413846730900301,False
1032,RP11-276H1.3,0.0,NOT,0.31209451801194343,352.5,not,0.3524272975981385,False
1033,MORC4,79710.0,NOT,5.579682013024585e-07,119.0,expressed,1.5278016607227723e-06,True
1034,ZNF223,7766.0,ND,0.805559457241567,612.0,not,0.8281890134417594,False
1035,PI4K2A,55361.0,ND,0.0012421446192700297,303.0,expressed,0.0019946131528062617,True
1036,PCDHA7,56141.0,NOT,0.00015130856874845337,245.0,expressed,0.00027636450889506576,True
1037,RMI1,80010.0,ND,6.3812412695451034e-09,36.0,expressed,3.289643179092559e-08,True
1038,SLC27A3,11000.0,ND,8.53422673646545e-10,2.0,expressed,1.093136886055739e-08,True
1039,GRID2IP,392862.0,NOT,0.44281987997799155,558.0,not,0.4849292753842713,False
1040,PGGT1B,5229.0,ND,0.00037631805527393874,255.0,expressed,0.0006504146478096339,True
1041,TSC22D3,1831.0,NOT,1.3025210640480111e-09,9.0,expressed,1.1301381909306577e-08,True
1042,SERPINB8,5271.0,NOT,0.11012810248713288,472.0,not,0.13486906071637747,False
1043,PHF11,51131.0,ND,4.778329681962615e-09,31.0,expressed,2.6163437482061546e-08,True
1044,IP6K2,51447.0,ND,0.06044101211218558,443.0,not,0.07710793030337537,False
1045,INPP5F,22876.0,ND,0.0003232866401391307,265.0,expressed,0.000564323650607849,True
1046,REEP1,65055.0,NOT,0.00010214275675092093,235.0,expressed,0.00019162859718420495,True
1047,IFIH1,64135.0,NOT,0.008770694455590837,366.0,expressed,0.012600943672682278,True
1048,MPLKIP,136647.0,NOT,1.0089294427154326e-08,44.0,expressed,4.682766287724099e-08,True
1049,CREBZF,58487.0,NOT,0.09970668891391905,447.0,not,0.12303972076490834,False
1050,FCRL5,83416.0,ND,0.016018532187551015,388.0,expressed,0.02223008865198777,True
1051,HN1,51155.0,ND,8.031090907046913e-10,1.0,expressed,1.093136886055739e-08,True
1052,OMD,4958.0,NOT,0.0006214235970632035,283.0,expressed,0.0010415341650593616,True
1053,ATAD3C,219293.0,NOT,2.097895116486917e-08,57.0,expressed,8.37364559549711e-08,True
1054,ZNF736,728927.0,NOT,0.023592951063958378,403.0,expressed,0.031918570728317094,True
1055,PDE4DIP,9659.0,NOT,1.071681462657252e-07,87.0,expressed,3.4623709121758047e-07,True
1056,SIGIRR,59307.0,NOT,2.741966763304474e-07,105.0,expressed,8.016157697763545e-07,True
1057,ZNF594,84622.0,NOT,0.011277334916760704,375.0,expressed,0.015969830370279627,True
1058,C1orf173,127254.0,ND,1.071681462657252e-07,87.0,expressed,3.4623709121758047e-07,True
1059,MBNL1,4154.0,NOT,8.53422673646545e-10,2.0,expressed,1.093136886055739e-08,True
1060,PIBF1,10464.0,ND,0.0008459130159729175,277.0,expressed,0.0013926567569743783,True
1061,STX2,2054.0,NOT,7.556929455863566e-10,0.0,expressed,1.093136886055739e-08,True
