,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
12506,KCNMB4,27345.0,ND,0.9999753798254044,1058.0,not
12507,IL18R1,8809.0,ND,0.9999997476685819,1158.0,not
12508,PAMR1,25891.0,NOT,0.9980210869625251,936.0,not
12509,CMSS1,84319.0,ND,3.778464727931783e-10,0.0,expressed
12510,GGT6,124975.0,ND,0.9999424853835566,1037.0,not
12511,SYNGR3,9143.0,ND,2.5434181569635596e-06,165.0,expressed
12512,METTL25,84190.0,NOT,0.9999973370246408,1109.0,not
12513,IQCA1,79781.0,NOT,0.9789239394313244,848.0,not
12514,NME4,4833.0,NOT,2.006296982585995e-09,28.0,expressed
12515,SLC5A9,200010.0,NOT,0.9999999995465971,1272.0,not
12516,POLR3G,10622.0,ND,6.284033604065299e-10,2.0,expressed
12517,DDHD2,23259.0,NOT,0.08885196159931247,477.0,not
12518,ETNK1,55500.0,NOT,0.08466232914779659,454.0,not
12519,UBTD2,92181.0,NOT,0.9548816470983801,813.0,not
12520,IWS1,55677.0,NOT,0.01586265774950163,415.0,expressed
12521,NCOA1,8648.0,NOT,0.9999975709891551,1111.0,not
12522,NAGLU,4669.0,ND,0.999937771937281,1035.0,not
12523,GLB1L,79411.0,NOT,0.9996024778378504,985.0,not
12524,TPPP,11076.0,ND,0.9999999952346001,1232.0,not
12525,TENM3,55714.0,NOT,0.0010886557754778545,320.0,expressed
12526,MRPL16,54948.0,NOT,0.04511835290161988,462.0,expressed
12527,PTPRB,5787.0,NOT,0.9999999996221536,1275.0,not
12528,DENND1C,79958.0,ND,0.9999999996221536,1275.0,not
12529,CCDC146,57639.0,NOT,0.9999970815710056,1107.0,not
12530,FLJ00418,0.0,NOT,0.04308941157339548,440.0,expressed
12531,DNHD1,144132.0,ND,0.9997553317935278,963.0,not
12532,ZNF662,389114.0,NOT,0.9999998480920196,1168.0,not
12533,BUB1,699.0,ND,4.0155454535234565e-10,1.0,expressed
12534,CMC4,100272147.0,NOT,5.528616876204267e-05,237.0,expressed
12535,KLHL23,151230.0,NOT,0.005795913647416778,376.0,expressed
12536,DNAH10OS,0.0,NOT,0.9999990952004307,1132.0,not
12537,C7orf10,0.0,ND,3.011814747490713e-09,35.0,expressed
12538,DPP8,54878.0,ND,0.940502343156603,799.0,not
12539,A2M,2.0,ND,0.9999999996221536,1275.0,not
12540,HIST2H3C,126961.0,NOT,8.15575652756898e-06,191.0,expressed
12541,SFSWAP,6433.0,NOT,0.01874985782979956,422.0,expressed
12542,SUPT16H,11198.0,NOT,1.172395548706478e-08,59.0,expressed
12543,CD209,30835.0,NOT,0.9980808681761079,937.0,not
12544,C22orf43,51233.0,ND,0.9996457786399231,884.0,not
12545,RP11-500M8.7,0.0,NOT,0.0010886557754778545,320.0,expressed
12546,ATP6V0C,527.0,ND,0.999979146742164,1062.0,not
12547,PHLDB3,653583.0,ND,5.436224530789367e-10,6.0,expressed
12548,RILPL1,353116.0,NOT,0.9999975709891551,1111.0,not
12549,AHCYL1,10768.0,NOT,0.9999889547515007,1077.0,not
12550,ELMO3,79767.0,NOT,3.8585876425725075e-05,228.0,expressed
12551,DHX29,54505.0,NOT,0.9977307129810001,931.5,not
12552,TES,26136.0,NOT,0.990424738411958,848.0,not
12553,LLPH,84298.0,NOT,6.619124275792135e-08,91.0,expressed
12554,RNASET2,8635.0,ND,0.9867996765816373,867.5,not
12555,ARL6IP4,51329.0,ND,0.9999782599181234,1061.0,not
