,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expression
0,HIST3H2A,92815.0,NOT,3.992417898227317e-11,291.5,expressed
1,LIN7B,64130.0,NOT,0.34664948126015327,1113.0,not
2,LXN,56925.0,NOT,1.7671094744159914e-07,2008.0,expressed
3,CNKSR2,22866.0,ND,1.7111044341718963e-12,2274.0,expressed
4,SCML1,6322.0,NOT,0.004456068417772076,1663.0,expressed
5,AC024592.12,0.0,NOT,0.10895680245830637,1017.0,not
6,GSDMD,79792.0,NOT,3.7463146170598573e-07,1987.5,expressed
7,AKR1C1,1645.0,NOT,0.00739779903005631,861.0,expressed
8,C3orf62,375341.0,ND,3.912050498137707e-09,2104.5,expressed
9,CRISPLD2,83716.0,NOT,1.8880820319946962e-05,1871.0,expressed
10,DOCK5,80005.0,ND,8.238232134324727e-09,2086.5,expressed
11,SLC33A1,9197.0,ND,4.4723599402152885e-11,294.0,expressed
12,GLI1,2735.0,NOT,0.5648579514737495,1166.0,not
13,STK17B,9262.0,NOT,3.092514977814856e-12,2262.0,expressed
14,RP5-966M1.6,0.0,NOT,2.368194739887386e-09,2116.5,expressed
15,VPS52,6293.0,ND,0.7173516621685363,1303.0,not
16,HAGHL,84264.0,NOT,0.011180150651187517,881.5,expressed
17,CDC37L1,55664.0,NOT,1.9639476929147153e-14,2360.5,expressed
18,KRT10,3858.0,NOT,6.32534799295302e-15,118.5,expressed
19,AEN,64782.0,ND,0.4119816560668029,1130.5,not
20,CYHR1,50626.0,ND,0.000825814364977351,764.5,expressed
21,VWA1,64856.0,ND,1.518608900679967e-06,1948.0,expressed
22,EXOSC9,5393.0,ND,0.7019634941376263,1306.0,not
23,TNFAIP8L2,79626.0,NOT,1.7794005354384757e-15,2404.5,expressed
24,PFDN2,5202.0,ND,6.664194845218935e-15,119.5,expressed
25,TCP1,6950.0,NOT,9.129823957543238e-13,213.5,expressed
26,ALG9,79796.0,NOT,3.658108783225866e-09,2106.0,expressed
27,RPS15A,6210.0,ND,0.6994095505367783,1306.5,not
28,PMEL,6490.0,ND,0.1679254319518242,1049.5,not
29,SFMBT1,51460.0,NOT,0.9615066689316705,1257.5,not
30,CYBA,1535.0,NOT,3.3815973998483513e-09,2108.0,expressed
31,GINS1,9837.0,NOT,2.8597988341441255e-17,23.5,expressed
32,GPX3,2878.0,ND,8.450565914442319e-18,2497.0,expressed
33,IPO9,55705.0,ND,5.537195926992678e-12,250.0,expressed
34,SHKBP1,92799.0,NOT,0.05704765493623838,973.5,not
35,ARHGAP40,343578.0,NOT,0.11282090195101523,1019.5,not
36,ENO3,2027.0,ND,0.12334719269107497,1026.0,not
37,COX19,90639.0,ND,0.0010832759790317052,775.5,expressed
38,LMF1,64788.0,NOT,8.162057892954633e-12,2242.0,expressed
39,S100P,6286.0,ND,0.29787211135190417,1098.5,not
40,RDH14,57665.0,ND,0.0018295807122528068,1702.5,expressed
41,GDE1,51573.0,NOT,6.087288140310258e-07,1974.0,expressed
42,LSM14B,149986.0,NOT,1.1488166422722712e-13,173.0,expressed
43,TLE2,7089.0,NOT,4.197925449112816e-15,2389.0,expressed
44,ACOT8,10005.0,ND,0.14380290005319285,1462.5,not
45,EIF4EBP3,8637.0,NOT,1.2570279868900768e-10,2183.5,expressed
46,LRP2BP,55805.0,ND,2.946136366535271e-17,2476.0,expressed
47,PELO,53918.0,ND,5.508722721251148e-11,2201.5,expressed
48,CDIPT,10423.0,ND,0.0003595529090509665,1768.0,expressed
49,C19orf44,84167.0,ND,4.816736324288531e-05,1840.0,expressed
50,PABPN1,8106.0,NOT,1.6242054690568182e-06,554.0,expressed
51,NFKBIB,4793.0,NOT,0.08476610436834903,999.5,not
52,ZWINT,11130.0,ND,4.4459068113610063e-17,31.0,expressed
53,DYNLL1,8655.0,ND,1.1697304527663833e-06,544.5,expressed
54,NRXN3,9369.0,ND,7.666064802862054e-06,1899.5,expressed
55,FYTTD1,84248.0,ND,3.400364502716602e-08,449.0,expressed
56,CAPRIN1,4076.0,ND,1.6310693001191766e-08,430.5,expressed
57,AOC3,8639.0,NOT,3.122532880255839e-17,2475.0,expressed
58,KIFC3,3801.0,NOT,7.58626941102781e-09,2088.5,expressed
59,DOCK11,139818.0,NOT,6.498462845443584e-17,2462.5,expressed
60,NENF,29937.0,ND,0.10516043655433369,1014.5,not
61,TMEM231,79583.0,NOT,4.8465168008640806e-08,2042.0,expressed
62,DNAH17,8632.0,ND,0.06667059972755322,983.5,not
63,DCHS1,8642.0,NOT,3.4682633174594916e-11,2211.5,expressed
64,ZFYVE19,84936.0,NOT,0.00028724324926047897,723.5,expressed
65,NTRK1,4914.0,NOT,3.3751588676522406e-06,1924.5,expressed
66,CCDC62,84660.0,ND,0.004126247112351053,1666.5,expressed
67,HS3ST4,9951.0,NOT,0.9137301247498919,1234.0,not
68,SLC5A8,160728.0,NOT,7.024819458843523e-12,2244.5,expressed
69,WDR53,348793.0,NOT,2.5353944323731246e-17,21.5,expressed
70,NLN,57486.0,NOT,2.1033225900939706e-15,98.5,expressed
71,TBC1D31,93594.0,ND,1.236314215227303e-15,89.0,expressed
72,NOXRED1,122945.0,ND,0.17994630305236592,1445.0,not
73,ZNF597,146434.0,NOT,1.6810262548218656e-15,2405.5,expressed
74,RNF114,55905.0,ND,0.000845631116586722,1734.5,expressed
75,JOSD2,126119.0,NOT,0.2289579899952453,1075.0,not
76,SFRP2,6423.0,NOT,0.000643621367803614,754.5,expressed
77,PNMA2,10687.0,ND,5.629122999653483e-17,2465.0,expressed
78,CDH10,1008.0,NOT,6.0438608113455056e-09,2093.5,expressed
79,HENMT1,113802.0,ND,0.0170556888994647,903.5,expressed
80,STX16,8675.0,ND,0.0014639975131033936,788.0,expressed
81,PTX3,5806.0,NOT,6.916832682496623e-07,1970.5,expressed
82,BFAR,51283.0,NOT,3.842862426528413e-06,1920.5,expressed
83,MEP1B,4225.0,ND,0.7924765315307093,1212.5,not
84,SHROOM3,57619.0,NOT,3.990086520052919e-16,2431.0,expressed
85,NUP107,57122.0,NOT,1.282305224395621e-13,175.0,expressed
86,HS6ST1,9394.0,ND,3.079597784336884e-11,286.0,expressed
87,BRWD3,254065.0,NOT,2.338567799592045e-05,636.0,expressed
88,FGF11,2256.0,NOT,4.720710460648249e-17,32.0,expressed
89,CCDC138,165055.0,NOT,1.5946699089006548e-11,272.0,expressed
90,FAM193B,54540.0,ND,0.0018316130294813698,1702.5,expressed
91,BATF,10538.0,ND,4.822783837212182e-05,1840.0,expressed
92,COL4A2,1284.0,ND,0.033429206752729694,1559.0,expressed
93,AGFG2,3268.0,NOT,7.789426977875284e-11,2194.0,expressed
94,TVP23B,51030.0,NOT,0.002103958929430321,803.5,expressed
95,FBXO42,54455.0,ND,0.16472234184681833,1452.0,not
96,NBEAL1,65065.0,NOT,5.382860586147182e-07,1977.5,expressed
97,BCL6,604.0,NOT,0.0001581394419414701,1798.5,expressed
98,DNAJC3,5611.0,ND,3.341533409634363e-08,2051.5,expressed
99,C1orf233,643988.0,NOT,0.01371437299322864,892.0,expressed
100,ADH6,130.0,NOT,0.005236484977803297,1655.5,expressed
101,VPS13B,157680.0,ND,0.6665345431218666,1313.0,not
102,ZMYM3,9203.0,NOT,0.8388338234234061,1280.0,not
103,SEMA3D,223117.0,NOT,0.07758636560559865,1506.5,not
104,ITGB6,3694.0,ND,2.8546482418096077e-13,2309.5,expressed
105,RBM44,375316.0,NOT,0.0036604305572416167,1672.0,expressed
106,CEACAM21,90273.0,ND,2.163376071061763e-15,2401.0,expressed
107,ETV6,2120.0,NOT,0.00810634252845044,865.5,expressed
108,C1RL,51279.0,NOT,3.0100727120874674e-07,1993.5,expressed
109,CCDC181,57821.0,NOT,2.1031161825632904e-13,2315.5,expressed
110,GPN3,51184.0,NOT,0.0013613291708744536,785.0,expressed
111,RAP1GAP,5909.0,NOT,4.0480141500569654e-12,2256.5,expressed
112,MAGED2,10916.0,ND,5.005355615769551e-07,1979.5,expressed
